Topic,Target Completion Date,Type,Resources,To Do
Python Basics,"July 1, 2024",Learning,"https://www.youtube.com/watch?v=kqtD5dpn9C8                                        ","Helpful if you have no knowledge of Python.
If you just want a 10 min refresher watch https://www.youtube.com/watch?v=fWjsdhR3z3c instead."
Jupyter Notebook,"July 2, 2024",Learning,"https://www.youtube.com/watch?v=HW29067qVWk 
https://realpython.com/jupyter-notebook-introduction/","Either resource is sufficient if you are new to Jupyter Notebooks. "
Why NumPy and Pandas?,,Optional,https://www.youtube.com/watch?v=KHoEbRH46Zk,Optional Watch
NumPy,"July 3, 2024",Learning,"https://www.youtube.com/watch?v=GB9ByFAIAH4
https://numpy.org/doc/1.26/user/absolute_beginners.html","Expected time to complete: 
1- 1.5 hours"
Pandas,"July 4, 2024",Learning,"https://www.youtube.com/watch?v=vmEHCJofslg
https://pandas.pydata.org/docs/user_guide/10min.html","Expected time to complete:
1- 1.5 hours
"
Matplotlib,"July 5, 2024",Learning,"https://www.youtube.com/watch?v=3Xc3CA655Y4
https://matplotlib.org/stable/api/pyplot_summary.html","Expected time to complete:
1- 1.5 hours
"
Seaborn,"July 6, 2024",Learning,https://www.youtube.com/watch?v=6GUZXDef2U0,"Expected time to complete: 
1 hour
"
Review Questions,"July 6, 2024 → July 8, 2024",Assignment,https://drive.google.com/drive/u/3/folders/18CaZDmFWm94AiL6EuHPAtFdWFIcw1E0Q,"https://docs.google.com/forms/d/e/1FAIpQLSfNZN5D_X9aoJm2rqSKbnhlJgawhLXlXUU-tNEqzbv7XORgWw/viewform?usp=sf_link 
The deadline for the assignment is 8th July, Monday"
